Code,Longitude,Latitude,Network,Name,Data From,Data To,Operational Currently
M0249,-80.19167,-1.73333,M,VALLE DE LA VIRGEN,1986,2008,No
M0250,-79.97778,-1.7,M,LA CAPILLA CEDEGE,1981,2008,No
M0251,-79.27056,-0.46472,M,EL BOLO,1986,1989,No
M0252,-79.11833,-0.7,M,PUCAYACU,1984,1995,No
M0253,-79.28556,-1.97417,M,MONSERRATE,1987,1992,No
M0254,0.0,0.0,M,PUENTE NEGRO,,,No
M0255,-79.725,-1.95,M,SAMBORONDON,1984,1988,No
M0256,-79.45638889,-1.819722222,M,CHILINTOMO,,,No
M0257,-79.97972,-1.82861,M,DAULE(COL.AGRONOMICO),1964,1988,No
M0258,-78.60553889,-1.3671,M,QUEROCHACA,1979,2022,Yes
M0259,-80.1425,-1.87889,M,ISIDRO AYORA,1964,1978,No
M0260,-78.34139,-0.225,M,PIFO,2004,2008,No
M0261,-79.39306,-1.71417,M,CLEMENTINA HDA.,1962,1993,No
M0262,-80.01639,-1.55056,M,COLIMES DE BALZAR CEDEGE,1986,2017,No
M0263,-79.39417,-2.10806,M,SAN ANTONIO-BENEFICIO CACAO,1970,1974,No
M0264,-78.32027778,-0.154166667,M,YARUQUI INERHI,,,No
M0265,-78.39,-0.19583,M,SANTA ROSA-TUMBACO,2008,2008,No
M0266,-78.10833,-2.30833,M,MACAS INAMHI,1973,1977,No
M0267,-78.345,0.086388889,M,MALCHINGUI INERHI,,,No
M0268,-78.59972222,-1.057222222,M,LA FRICIA,,,No
M0269,-79.63528,0.98528,M,ESMERALDAS INOCAR(LAS PALMAS),1964,1999,No
M0270,-80.5,-0.78333,M,SAN JACINTO,1985,1990,No
M0271,-79.625,-1.66667,M,ISLA DE BEJUCAL,1987,1995,No
M0272,-79.56444,-0.27778,M,LA LETRA-BRAMADORA,2003,2006,No
M0273,-79.08333333,-2.871111111,M,MACHANGARA,,,No
M0274,-80.47055556,-1.0375,M,PORTOVIEJO AEROPUERTO,,,No
M0275,-80.73166667,-2.055,M,PROYECTO MONTE VERDE,,,No
